DISTRICT,TOTAL_EXP,MCAS_ELA,MCAS_MATH,MCAS_TOTAL
Hanover,13526,508.8,505.4,1014.2
Harvard,16216,515.3,510.8,1026.1
Hatfield,14300,492.8,499.4,992.2
Haverhill,12643,493.4,496.3,989.7
Hingham,13010,507.9,504.5,1012.4
Holbrook,15041,500.4,505,1005.4
Holliston,13186,507.2,507.8,1015
Holyoke,16568,491.2,490.7,981.9
Hopedale,12822,512.2,510.5,1022.7
Hopkinton,14127,518.5,521.4,1039.9
Hudson,15529,501.6,500.5,1002.1
Hull,19123,502,494,996
Ipswich,15575,497.1,500.1,997.2
King Philip,14342,506.8,505.4,1012.2
Lawrence,15127,487.7,492.7,980.4
Lee,16888,507,501.5,1008.5
Leicester,13094,492,490,982
Lenox,18526,507.2,503.1,1010.3
Leominster,13302,496.5,498.4,994.9
Lexington,18003,518.1,524.9,1043
Lincoln,21799,505.2,506.6,1011.8
Littleton,14349,513.4,503.3,1016.7
Longmeadow,14856,513.8,506.1,1019.9
Lowell,14412,489.7,492.9,982.6
Ludlow,15026,488.6,491.3,979.9
Lunenburg,12982,503.6,506.2,1009.8
Lynn,13785,489.9,492.7,982.6
Lynnfield,14502,510.9,509,1019.9
Malden,13888,491.3,495.7,987
Manchester Essex Regional,16327,522.4,502.5,1024.9
Mansfield,14457,502.2,504.3,1006.5
Marblehead,14710,506.4,508,1014.4
Marlborough,16977,486.3,490.3,976.6
Marshfield,12646,508.8,509.6,1018.4
Masconomet,16694,502,507,1009
Mashpee,16454,501.6,501.2,1002.8
Maynard,14889,494.7,493.5,988.2
Medfield,14325,506.4,506.6,1013
Medford,17044,501.1,499.3,1000.4
Medway,13877,506.5,509.4,1015.9
Melrose,12003,511.8,502.1,1013.9
Mendon-Upton,15033,503.2,506.6,1009.8
Methuen,13393,495.4,496.9,992.3
Middleborough,14138,502.2,493.7,995.9
Milford,13883,495.7,496.4,992.1
Millbury,15268,496.8,494.8,991.6
Millis,14337,497.3,507.7,1005
Milton,14388,502.1,505.7,1007.8
Mohawk Trail,17171,494.5,496.8,991.3
Monomoy Regional School District,16135,494.7,496.3,991
Monson,14854,493.8,500.1,993.9
Mount Greylock,18372,512,501.5,1013.5
Nantucket,21237,493.4,490,983.4
Narragansett,12807,490.5,499.3,989.8
Nashoba,14838,507,514.6,1021.6
Natick,14291,514.6,507.3,1021.9
Nauset,19436,506,501.4,1007.4
Needham,16547,501.4,514.3,1015.7
New Bedford,13257,485.4,485.2,970.6
Newburyport,15307,510.2,508.9,1019.1
Newton,18779,511.2,512.8,1024
North Adams,15587,484.9,485.2,970.1
North Andover,12639,506.8,508.8,1015.6
North Attleborough,11648,507.6,507.3,1014.9
North Brookfield,13493,491.2,490,981.2
North Middlesex,14385,504,505.9,1009.9
North Reading,14504,502.1,504.3,1006.4
Northampton,14260,495.5,494.9,990.4
Northborough,15979,503.7,509.9,1013.6
Northbridge,12773,490.6,500.5,991.1
Norton,13950,497.1,497.9,995
Norwell,15117,505.2,507,1012.2
Norwood,16255,497.7,497.4,995.1
Oak Bluffs,19880,499.8,503.7,1003.5
Old Rochester,14919,504.6,504.3,1008.9
Oxford,13438,499.9,492,991.9
Palmer,14578,488.5,489.8,978.3
Peabody,14299,496.4,497,993.4
Pembroke,12279,499.4,503.6,1003
Pentucket,14805,497.6,493.7,991.3
Pioneer Valley,17719,500,504.8,1004.8
Pittsfield,14451,485.4,488.8,974.2
Plymouth,15705,493,498.7,991.7
Provincetown,31008,489.5,500.9,990.4
Quabbin,14578,498.3,494.2,992.5
Quaboag Regional,12210,494.1,494.3,988.4
Quincy,16464,503.6,501.5,1005.1
Ralph C Mahar,15765,495.1,495,990.1
Randolph,16301,490.8,492.1,982.9
Reading,13285,504.9,508,1012.9
Revere,14534,497,496.8,993.8
Rockland,13900,486.9,493.4,980.3
Rockport,17278,506.1,500.6,1006.7
Salem,18842,494.2,495.6,989.8
Sandwich,15628,498.1,500.4,998.5
Saugus,14629,494.1,494.5,988.6
Scituate,14844,502.9,499.2,1002.1
Seekonk,15021,507.6,505.3,1012.9
Sharon,15420,511.1,516.2,1027.3
Shrewsbury,13372,507.5,508.6,1016.1
Silver Lake,14406,509.4,508.6,1018
Somerset,14378,495.2,504.3,999.5
Somerville,18843,499.8,499.7,999.5
South Hadley,14316,495.6,493.1,988.7
Southborough,17763,506.1,516.1,1022.2
Southbridge,14121,477,478.2,955.2
Southern Berkshire,19711,503.2,500.2,1003.4
Southwick-Tolland-Granville Regional School District,13956,492.7,498,990.7
Spencer-E Brookfield,13945,492.6,493.9,986.5
Springfield,15495,484.8,483.1,967.9
Stoneham,15222,505,507.7,1012.7
Stoughton,14372,499,496.6,995.6
Sudbury,15259,514,506.3,1020.3
Sutton,12868,496.3,499.4,995.7
Swampscott,16171,504.3,508.8,1013.1
Swansea,13669,493.6,500.1,993.7
Tantasqua,13481,500.3,510.5,1010.8
Taunton,13025,487.7,490.4,978.1
Tewksbury,15469,504.6,515.6,1020.2
Tisbury,22394,515.6,506,1021.6
Tri County Regional Vocational Technical,19304,495.8,496.2,992
Tyngsborough,13814,496.8,496.2,993
Up-Island Regional,26914,489.5,499.1,988.6
Uxbridge,13926,499.7,498.1,997.8
Wakefield,14287,496.9,501.4,998.3
Walpole,14244,503.6,503.6,1007.2
Waltham,20242,504.1,498.3,1002.4
Ware,13031,488,492.7,980.7
Wareham,14855,498.9,491.5,990.4
Watertown,20720,503.9,498.4,1002.3
Wayland,17426,515.2,519.4,1034.6
Webster,13937,482.7,482.6,965.3
Wellesley,18636,512.3,513,1025.3
West Boylston,15085,508.3,498.1,1006.4
West Bridgewater,12177,497.8,496.4,994.2
West Springfield,14016,490.7,494.6,985.3
Westborough,15555,510.4,514.7,1025.1
Westfield,14289,495.5,496.2,991.7
Westford,13528,507.9,513.2,1021.1
Westhampton,15016,506.5,511.4,1017.9
Westport,14144,499.5,498,997.5
Westwood,16713,511,510.9,1021.9
Weymouth,14043,497.6,494.3,991.9
Whitman-Hanson,11815,493.2,498.5,991.7
Wilmington,16337,506.1,502.4,1008.5
Winchendon,13934,485.7,487.7,973.4
Winchester,13312,513.3,513.3,1026.6
Winthrop,13085,501.1,499,1000.1
Woburn,16154,495.9,497.8,993.7
Worcester,14492,489.9,488.2,978.1
